,"[1, 2]","       [1, 6]","       [1, 5]","       [1, 4]","       [1, 8]","       [2, 3]","       [2, 6]","       [2, 5]","       [2, 4]","       [2, 7],","       [2, 9],","       [3, 6],","       [3, 5],","       [3, 4],","       [3, 8],","       [5, 6]","       [6, 7]","       [6, 8]","       [6, 9]","       [4, 5],","       [5, 7]","       [5, 8]","       [5, 9]","       [4, 7],","       [4, 8]","       [4, 9]","       [7, 8]","       [8, 9]",constr2,obj1,obj2,constr1,constr3,design_bitstring,design_radii
10,0.0,0.0,0.0,0.0004,0.0,0.0003,0.0,0.0004,0.0,0.0002,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0002,0.0,0.0,0.0004,0.0004,0.0,0.0,0.0004,117000000000.0,0.063038025,0.222838325,1.39e-16,1,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1]","[0.0, 0.0, 0.0, 0.0004, 0.0, 0.0003, 0.0, 0.0004, 0.0, 0.0002, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0004, 0.0002, 0.0, 0.0, 0.0004, 0.0004, 0.0, 0.0, 0.0004]"
11,0.0,0.0,0.0,0.0002,0.0,0.0004,0.0,0.0,0.0004,0.0002,0.0,0.0004,0.0,0.0003,0.0,0.0003,0.0002,0.0002,0.0003,0.0,0.0003,0.0003,0.0003,0.0,0.0,0.0004,0.0,0.0004,117000000000.0,0.081312908,0.486591955,1.39e-16,1,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1]","[0.0, 0.0, 0.0, 0.0002, 0.0, 0.0004, 0.0, 0.0, 0.0004, 0.0002, 0.0, 0.0004, 0.0, 0.0003, 0.0, 0.0003, 0.0002, 0.0002, 0.0003, 0.0, 0.0003, 0.0003, 0.0003, 0.0, 0.0, 0.0004, 0.0, 0.0004]"
12,0.0002,0.0,0.0004,0.0003,0.0002,0.0004,0.0002,0.0004,0.0,0.0004,0.0,0.0003,0.0,0.0,0.0003,0.0,0.0004,0.0002,0.0,0.0,0.0003,0.0004,0.0,0.0002,0.0,0.0,0.0002,0.0002,117000000000.0,0.451342748,0.661438964,1.39e-16,1,"[1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1]","[0.0002, 0.0, 0.0004, 0.0003, 0.0002, 0.0004, 0.0002, 0.0004, 0.0, 0.0004, 0.0, 0.0003, 0.0, 0.0, 0.0003, 0.0, 0.0004, 0.0002, 0.0, 0.0, 0.0003, 0.0004, 0.0, 0.0002, 0.0, 0.0, 0.0002, 0.0002]"
13,0.0,0.0,0.0,0.0004,0.0003,0.0003,0.0003,0.0,0.0,0.0004,0.0,0.0003,0.0003,0.0,0.0003,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.0004,0.0002,0.0004,0.0,0.0,0.0,0.0003,200000000000.0,0.26323923,0.484710929,1.39e-16,1,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1]","[0.0, 0.0, 0.0, 0.0004, 0.0003, 0.0003, 0.0003, 0.0, 0.0, 0.0004, 0.0, 0.0003, 0.0003, 0.0, 0.0003, 0.0002, 0.0, 0.0, 0.0, 0.0002, 0.0002, 0.0004, 0.0002, 0.0004, 0.0, 0.0, 0.0, 0.0003]"
14,0.0002,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0003,0.0,0.0,0.0,0.0004,0.0,0.0,0.0003,0.0004,0.0,0.0002,0.0,0.0002,0.0,0.0002,0.0003,0.0,0.0002,0.0,0.0002,0.0,117000000000.0,0.311304893,0.432616914,1.39e-16,1,"[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0]","[0.0002, 0.0, 0.0, 0.0002, 0.0002, 0.0, 0.0, 0.0003, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0003, 0.0004, 0.0, 0.0002, 0.0, 0.0002, 0.0, 0.0002, 0.0003, 0.0, 0.0002, 0.0, 0.0002, 0.0]"
15,0.0002,0.0002,0.0,0.0004,0.0004,0.0003,0.0004,0.0,0.0004,0.0002,0.0,0.0004,0.0003,0.0,0.0003,0.0003,0.0003,0.0004,0.0004,0.0,0.0003,0.0,0.0,0.0002,0.0,0.0002,0.0003,0.0004,117000000000.0,0.249541253,0.708058553,1.39e-16,1,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1]","[0.0002, 0.0002, 0.0, 0.0004, 0.0004, 0.0003, 0.0004, 0.0, 0.0004, 0.0002, 0.0, 0.0004, 0.0003, 0.0, 0.0003, 0.0003, 0.0003, 0.0004, 0.0004, 0.0, 0.0003, 0.0, 0.0, 0.0002, 0.0, 0.0002, 0.0003, 0.0004]"
16,0.0004,0.0002,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0002,0.0002,0.0004,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0002,0.0,0.0004,0.0003,0.0002,800000000.0,0.112419582,0.379018828,1.39e-16,1,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]","[0.0004, 0.0002, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0003, 0.0, 0.0002, 0.0002, 0.0004, 0.0002, 0.0003, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0, 0.0004, 0.0003, 0.0002]"
17,0.0,0.0,0.0003,0.0004,0.0,0.0003,0.0,0.0003,0.0002,0.0,0.0,0.0002,0.0003,0.0004,0.0,0.0,0.0,0.0,0.0004,0.0004,0.0004,0.0,0.0,0.0004,0.0,0.0004,0.0,0.0004,4000000000.0,0.116560811,0.422907128,1.39e-16,1,"[0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1]","[0.0, 0.0, 0.0003, 0.0004, 0.0, 0.0003, 0.0, 0.0003, 0.0002, 0.0, 0.0, 0.0002, 0.0003, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0004, 0.0004, 0.0004, 0.0, 0.0, 0.0004, 0.0, 0.0004, 0.0, 0.0004]"
18,0.0002,0.0,0.0003,0.0002,0.0003,0.0,0.0003,0.0,0.0002,0.0,0.0,0.0004,0.0,0.0,0.0004,0.0002,0.0002,0.0,0.0,0.0004,0.0003,0.0,0.0004,0.0004,0.0,0.0,0.0002,0.0,69000000000.0,0.248292382,0.455337739,1.39e-16,1,"[1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[0.0002, 0.0, 0.0003, 0.0002, 0.0003, 0.0, 0.0003, 0.0, 0.0002, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0004, 0.0002, 0.0002, 0.0, 0.0, 0.0004, 0.0003, 0.0, 0.0004, 0.0004, 0.0, 0.0, 0.0002, 0.0]"
19,0.0002,0.0,0.0004,0.0003,0.0,0.0002,0.0004,0.0,0.0003,0.0002,0.0002,0.0002,0.0002,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0003,0.0,0.0004,0.0004,0.0,0.0,0.0002,0.0003,4000000000.0,0.232053843,0.595563046,1.39e-16,1,"[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1]","[0.0002, 0.0, 0.0004, 0.0003, 0.0, 0.0002, 0.0004, 0.0, 0.0003, 0.0002, 0.0002, 0.0002, 0.0002, 0.0, 0.0, 0.0003, 0.0, 0.0, 0.0, 0.0, 0.0003, 0.0, 0.0004, 0.0004, 0.0, 0.0, 0.0002, 0.0003]"
